癤�Area	Line	Station	Date(YYYY-MM-DD)	Latitude	Longitude	Vertical change chart	Depth(m)	Water Temperature(℃)	T QC flag	Salinity(psu)	S QC flag	DO(ml/L)	D QC flag	QC Level	PO４(μmol/L)	NO２(μmol/L)	NO３(μmol/L)	SiO２(μmol/L)	pH	Water Transparency(m)	Baro(hPa)	Research Vessel
East Sea	102	04	1987-02-16 10:50	36.0767	129.615	Chart	0	12.0	1	34.52	1	6.21	1	1						17	1,033	GYONGBUK 853(KYONGBUK 853)
East Sea	102	04	1987-02-16 10:50	36.0767	129.615	Chart	10	11.6	1	34.48	1	6.04	1	1						17	1,033	GYONGBUK 853(KYONGBUK 853)
East Sea	102	04	1987-02-16 10:50	36.0767	129.615	Chart	20	11.5	1	34.48	1	5.94	1	1						17	1,033	GYONGBUK 853(KYONGBUK 853)
East Sea	102	04	1987-02-16 10:50	36.0767	129.615	Chart	30	11.5	1	34.48	1	5.99	1	1						17	1,033	GYONGBUK 853(KYONGBUK 853)
East Sea	102	04	1987-02-16 10:50	36.0767	129.615	Chart	50	11.3	1	34.26	1	6.25	1	1						17	1,033	GYONGBUK 853(KYONGBUK 853)
East Sea	102	04	1987-04-09 16:20	36.0767	129.615	Chart	0	12.6	1	34.53	1	6.31	1	1						6	1,011	GYONGBUK 853(KYONGBUK 853)
East Sea	102	04	1987-04-09 16:20	36.0767	129.615	Chart	10	11.3	1	34.36	1	6.22	1	1						6	1,011	GYONGBUK 853(KYONGBUK 853)
East Sea	102	04	1987-04-09 16:20	36.0767	129.615	Chart	20	9.2	1	34.30	1	6.07	1	1						6	1,011	GYONGBUK 853(KYONGBUK 853)
East Sea	102	04	1987-04-09 16:20	36.0767	129.615	Chart	30	7.6	1	34.27	1	5.87	1	1						6	1,011	GYONGBUK 853(KYONGBUK 853)
East Sea	102	04	1987-04-09 16:20	36.0767	129.615	Chart	50	6.1	1	34.22	1	5.64	1	1						6	1,011	GYONGBUK 853(KYONGBUK 853)
East Sea	102	04	1987-06-12 10:40	36.0767	129.615	Chart	0	17.6	1	33.52	1	6.16	1	1						12	1,014.5	GYONGBUK 853(KYONGBUK 853)
East Sea	102	04	1987-06-12 10:40	36.0767	129.615	Chart	10	16.4	1	33.61	1	6.58	1	1						12	1,014.5	GYONGBUK 853(KYONGBUK 853)
East Sea	102	04	1987-06-12 10:40	36.0767	129.615	Chart	20	15.8	1	33.83	1	5.81	1	1						12	1,014.5	GYONGBUK 853(KYONGBUK 853)
East Sea	102	04	1987-06-12 10:40	36.0767	129.615	Chart	30	12.8	1	33.83	1	4.88	1	1						12	1,014.5	GYONGBUK 853(KYONGBUK 853)
East Sea	102	04	1987-06-12 10:40	36.0767	129.615	Chart	50	9.2	1	34.31	1	4.78	1	1						12	1,014.5	GYONGBUK 853(KYONGBUK 853)
East Sea	102	04	1987-08-18 09:30	36.0767	129.615	Chart	0	17.5	1	32.52	1	5.57	1	1						13	1,017	GYONGBUK 853(KYONGBUK 853)
