癤�Area	Line	Station	Date(YYYY-MM-DD)	Latitude	Longitude	Vertical change chart	Depth(m)	Water Temperature(℃)	T QC flag	Salinity(psu)	S QC flag	DO(ml/L)	D QC flag	QC Level	PO４(μmol/L)	NO２(μmol/L)	NO３(μmol/L)	SiO２(μmol/L)	pH	Water Transparency(m)	Baro(hPa)	Research Vessel
East Sea	102	04	1996-02-13 07:30	36.0767	129.615	Chart	0	10.6	1	34.55	1	6.45	1	1						8	1,007	GYONGBUK 885(KYONGBUK 885)
East Sea	102	04	1996-02-13 07:30	36.0767	129.615	Chart	10	10.5	1	34.54	1	6.43	1	1						8	1,007	GYONGBUK 885(KYONGBUK 885)
East Sea	102	04	1996-02-13 07:30	36.0767	129.615	Chart	20	10.2	1	34.49	1	6.36	1	1						8	1,007	GYONGBUK 885(KYONGBUK 885)
East Sea	102	04	1996-02-13 07:30	36.0767	129.615	Chart	30	8.5	1	34.40	1	6.38	1	1						8	1,007	GYONGBUK 885(KYONGBUK 885)
East Sea	102	04	1996-02-13 07:30	36.0767	129.615	Chart	50	7.9	1	34.29	1	6.4	1	1						8	1,007	GYONGBUK 885(KYONGBUK 885)
East Sea	102	04	1996-04-08 22:15	36.0767	129.615	Chart	0	11.9	1	34.57	1	6.32	1	1							1,013	GYONGBUK 885(KYONGBUK 885)
East Sea	102	04	1996-04-08 22:15	36.0767	129.615	Chart	10	11.9	1	34.57	1	6.35	1	1							1,013	GYONGBUK 885(KYONGBUK 885)
East Sea	102	04	1996-04-08 22:15	36.0767	129.615	Chart	20	11.7	1	34.57	1	6.33	1	1							1,013	GYONGBUK 885(KYONGBUK 885)
East Sea	102	04	1996-04-08 22:15	36.0767	129.615	Chart	30	11.6	1	34.57	1	6.31	1	1							1,013	GYONGBUK 885(KYONGBUK 885)
East Sea	102	04	1996-04-08 22:15	36.0767	129.615	Chart	50	10.7	1	34.37	1	6.26	1	1							1,013	GYONGBUK 885(KYONGBUK 885)
East Sea	102	04	1996-06-04 18:10	36.0767	129.615	Chart	0	17.9	1	34.35	1	5.88	1	1							1,008	GYONGBUK 885(KYONGBUK 885)
