癤�Area	Line	Station	Date(YYYY-MM-DD)	Latitude	Longitude	Vertical change chart	Depth(m)	Water Temperature(℃)	T QC flag	Salinity(psu)	S QC flag	DO(ml/L)	D QC flag	QC Level	PO４(μmol/L)	NO２(μmol/L)	NO３(μmol/L)	SiO２(μmol/L)	pH	Water Transparency(m)	Baro(hPa)	Research Vessel
East Sea	102	00	2015-02-15 16:59	36.077	129.588	Chart	0	9.9	1	34.20	1	6.45	1	1							1,028	TAMGU 3
East Sea	102	00	2015-02-15 16:59	36.077	129.588	Chart	10	9.9	1	34.20	1	6.42	1	1							1,028	TAMGU 3
East Sea	102	00	2015-02-15 16:59	36.077	129.588	Chart	20	9.8	1	34.20	1	6.35	1	1							1,028	TAMGU 3
East Sea	102	00	2015-02-15 16:59	36.077	129.588	Chart	30	9.7	1	34.20	1	6.34	1	1							1,028	TAMGU 3
East Sea	102	00	2015-04-18 20:01	36.077	129.588	Chart	0	12.5	1	33.99	1		1	1							1,020	TAMGU 3
East Sea	102	00	2015-04-18 20:01	36.077	129.588	Chart	10	12.6	1	34.00	1		1	1							1,020	TAMGU 3
East Sea	102	00	2015-04-18 20:01	36.077	129.588	Chart	20	12.3	1	34.12	1		1	1							1,020	TAMGU 3
East Sea	102	00	2015-04-18 20:01	36.077	129.588	Chart	30	11.6	1	34.19	1		1	1							1,020	TAMGU 3
East Sea	102	00	2015-06-17 13:17	36.077	129.588	Chart	0	17.2	1	34.02	1	6.5	1	1						6	1,012	TAMGU 3
East Sea	102	00	2015-06-17 13:17	36.077	129.588	Chart	10	14.0	1	34.13	1	6.73	1	1						6	1,012	TAMGU 3
East Sea	102	00	2015-06-17 13:17	36.077	129.588	Chart	20	11.4	1	34.25	1	5.59	1	1						6	1,012	TAMGU 3
East Sea	102	00	2015-06-17 13:17	36.077	129.588	Chart	30	9.7	1	34.17	1	6.42	1	1						6	1,012	TAMGU 3
East Sea	102	00	2015-08-12 14:54	36.077	129.588	Chart	0	22.1	1	33.29	1	6.16	1	1							1,009	TAMGU 3
East Sea	102	00	2015-08-12 14:54	36.077	129.588	Chart	10	17.7	1	33.77	1	5.11	1	1							1,009	TAMGU 3
East Sea	102	00	2015-08-12 14:54	36.077	129.588	Chart	20	12.6	1	34.05	1	7.55	1	1							1,009	TAMGU 3
East Sea	102	00	2015-08-12 14:54	36.077	129.588	Chart	30	11.0	1	34.04	1	6.86	1	1							1,009	TAMGU 3
East Sea	102	00	2015-10-31 21:21	36.077	129.588	Chart	0	18.2	1	32.46	1	5.74	1	1							1,034	TAMGU 3
East Sea	102	00	2015-10-31 21:21	36.077	129.588	Chart	10	18.2	1	32.43	1	5.68	1	1							1,034	TAMGU 3
East Sea	102	00	2015-10-31 21:21	36.077	129.588	Chart	20	16.0	1	33.11	1	5.52	1	1							1,034	TAMGU 3
East Sea	102	00	2015-10-31 21:21	36.077	129.588	Chart	30	13.2	1	33.63	1	5	1	1							1,034	TAMGU 3
East Sea	102	00	2015-12-15 08:35	36.077	129.588	Chart	0	15.6	1	33.53	1	5.67	1	1							1,021	TAMGU 3
East Sea	102	00	2015-12-15 08:35	36.077	129.588	Chart	10	15.6	1	33.51	1	5.64	1	1							1,021	TAMGU 3
East Sea	102	00	2015-12-15 08:35	36.077	129.588	Chart	20	15.5	1	33.49	1	5.68	1	1							1,021	TAMGU 3
East Sea	102	00	2015-12-15 08:35	36.077	129.588	Chart	30	15.2	1	33.43	1	5.75	1	1							1,021	TAMGU 3
East Sea	102	04	2015-02-15 16:45	36.077	129.615	Chart	0	9.8	1	34.20	1	6.45	1	1							1,028	TAMGU 3
East Sea	102	04	2015-02-15 16:45	36.077	129.615	Chart	10	9.8	1	34.20	1	6.42	1	1							1,028	TAMGU 3
East Sea	102	04	2015-02-15 16:45	36.077	129.615	Chart	20	9.8	1	34.20	1	6.42	1	1							1,028	TAMGU 3
East Sea	102	04	2015-02-15 16:45	36.077	129.615	Chart	30	9.7	1	34.19	1	6.36	1	1							1,028	TAMGU 3
East Sea	102	04	2015-02-15 16:45	36.077	129.615	Chart	50	9.5	1	34.21	1	6.31	1	1							1,028	TAMGU 3
East Sea	102	04	2015-04-18 19:40	36.077	129.615	Chart	0	13.0	1	33.98	1		1	1	0.28	0.41	3.25	6.92			1,019	TAMGU 3
East Sea	102	04	2015-04-18 19:40	36.077	129.615	Chart	10	13.0	1	34.03	1		1	1							1,019	TAMGU 3
East Sea	102	04	2015-04-18 19:40	36.077	129.615	Chart	20	12.5	1	34.06	1		1	1							1,019	TAMGU 3
