癤�Area	Line	Station	Date(YYYY-MM-DD)	Latitude	Longitude	Vertical change chart	Depth(m)	Water Temperature(℃)	T QC flag	Salinity(psu)	S QC flag	DO(ml/L)	D QC flag	QC Level	PO４(μmol/L)	NO２(μmol/L)	NO３(μmol/L)	SiO２(μmol/L)	pH	Water Transparency(m)	Baro(hPa)	Research Vessel
East Sea	102	04	1982-02-10 16:30	36.0767	129.615	Chart	0	11.9	1	34.46	1		1	1						14	1,025	JIRISAN HO(CHIRISAN HO)
East Sea	102	04	1982-02-10 16:30	36.0767	129.615	Chart	10	11.9	1	34.46	1		1	1						14	1,025	JIRISAN HO(CHIRISAN HO)
East Sea	102	04	1982-02-10 16:30	36.0767	129.615	Chart	20	11.9	1	34.47	1		1	1						14	1,025	JIRISAN HO(CHIRISAN HO)
East Sea	102	04	1982-02-10 16:30	36.0767	129.615	Chart	30	11.9	1	34.47	1		1	1						14	1,025	JIRISAN HO(CHIRISAN HO)
East Sea	102	04	1982-02-10 16:30	36.0767	129.615	Chart	50	11.9	1	34.46	1		1	1						14	1,025	JIRISAN HO(CHIRISAN HO)
East Sea	102	04	1982-04-07 15:55	36.0767	129.615	Chart	0	13.7	1	34.50	1		1	1						10	1,009.5	JIRISAN HO(CHIRISAN HO)
East Sea	102	04	1982-04-07 15:55	36.0767	129.615	Chart	10	13.6	1	34.52	1		1	1						10	1,009.5	JIRISAN HO(CHIRISAN HO)
East Sea	102	04	1982-04-07 15:55	36.0767	129.615	Chart	20	13.5	1	34.51	1		1	1						10	1,009.5	JIRISAN HO(CHIRISAN HO)
East Sea	102	04	1982-04-07 15:55	36.0767	129.615	Chart	30	12.8	1	34.31	1		1	1						10	1,009.5	JIRISAN HO(CHIRISAN HO)
East Sea	102	04	1982-04-07 15:55	36.0767	129.615	Chart	50	11.5	1	34.30	1		1	1						10	1,009.5	JIRISAN HO(CHIRISAN HO)
East Sea	102	04	1982-06-09 19:05	36.0767	129.615	Chart	0	19.4	1	34.31	1		1	1						15	1,013	JIRISAN HO(CHIRISAN HO)
East Sea	102	04	1982-06-09 19:05	36.0767	129.615	Chart	10	17.3	1	34.27	1		1	1						15	1,013	JIRISAN HO(CHIRISAN HO)
East Sea	102	04	1982-06-09 19:05	36.0767	129.615	Chart	20	13.6	1	34.31	1		1	1						15	1,013	JIRISAN HO(CHIRISAN HO)
East Sea	102	04	1982-06-09 19:05	36.0767	129.615	Chart	30	10.0	1	34.31	1		1	1						15	1,013	JIRISAN HO(CHIRISAN HO)
East Sea	102	04	1982-06-09 19:05	36.0767	129.615	Chart	48	4.3	1	34.16	1		1	1						15	1,013	JIRISAN HO(CHIRISAN HO)
East Sea	102	04	1982-08-05 21:05	36.0767	129.615	Chart	0	24.4	1	32.39	1		1	1							1,006	JIRISAN HO(CHIRISAN HO)
East Sea	102	04	1982-08-05 21:05	36.0767	129.615	Chart	10	23.1	1	32.95	1		1	1							1,006	JIRISAN HO(CHIRISAN HO)
East Sea	102	04	1982-08-05 21:05	36.0767	129.615	Chart	20	21.4	1	33.41	1		1	1							1,006	JIRISAN HO(CHIRISAN HO)
East Sea	102	04	1982-08-05 21:05	36.0767	129.615	Chart	30	17.3	1	33.88	1		1	1							1,006	JIRISAN HO(CHIRISAN HO)
East Sea	102	04	1982-08-05 21:05	36.0767	129.615	Chart	50	9.8	1	34.23	1		1	1							1,006	JIRISAN HO(CHIRISAN HO)
East Sea	102	04	1982-10-07 15:25	36.0767	129.615	Chart	0	21.4	1	32.71	1	5.08	1	1						15	1,012.5	JIRISAN HO(CHIRISAN HO)
East Sea	102	04	1982-10-07 15:25	36.0767	129.615	Chart	10	21.1	1	32.66	1	5.18	1	1						15	1,012.5	JIRISAN HO(CHIRISAN HO)
East Sea	102	04	1982-10-07 15:25	36.0767	129.615	Chart	20	19.5	1	32.90	1	5.61	1	1						15	1,012.5	JIRISAN HO(CHIRISAN HO)
East Sea	102	04	1982-10-07 15:25	36.0767	129.615	Chart	30	14.9	1	33.70	1	5.18	1	1						15	1,012.5	JIRISAN HO(CHIRISAN HO)
East Sea	102	04	1982-10-07 15:25	36.0767	129.615	Chart	50	9.2	1	34.27	1	5.32	1	1						15	1,012.5	JIRISAN HO(CHIRISAN HO)
East Sea	102	04	1982-12-16 10:10	36.0767	129.615	Chart	0	14.7	1	34.19	1	5.68	1	1						12	1,026	JIRISAN HO(CHIRISAN HO)
East Sea	102	04	1982-12-16 10:10	36.0767	129.615	Chart	10	14.8	1	34.19	1	5.95	1	1						12	1,026	JIRISAN HO(CHIRISAN HO)
East Sea	102	04	1982-12-16 10:10	36.0767	129.615	Chart	20	14.8	1	34.18	1	6	1	1						12	1,026	JIRISAN HO(CHIRISAN HO)
East Sea	102	04	1982-12-16 10:10	36.0767	129.615	Chart	30	13.1	1	34.16	1	5.67	1	1						12	1,026	JIRISAN HO(CHIRISAN HO)
East Sea	102	04	1982-12-16 10:10	36.0767	129.615	Chart	50	11.4	1	34.16	1	5.95	1	1						12	1,026	JIRISAN HO(CHIRISAN HO)
East Sea	102	05	1982-02-10 15:40	36.0767	129.6883	Chart	0	11.7	1	34.45	1		1	1						12	1,026	JIRISAN HO(CHIRISAN HO)
East Sea	102	05	1982-02-10 15:40	36.0767	129.6883	Chart	10	11.6	1	34.49	1		1	1						12	1,026	JIRISAN HO(CHIRISAN HO)
East Sea	102	05	1982-02-10 15:40	36.0767	129.6883	Chart	19	11.6	2	34.47	2		2	0						12	1,026	JIRISAN HO(CHIRISAN HO)
East Sea	102	05	1982-02-10 15:40	36.0767	129.6883	Chart	29	11.7	2	34.47	2		2	0						12	1,026	JIRISAN HO(CHIRISAN HO)
East Sea	102	05	1982-02-10 15:40	36.0767	129.6883	Chart	48	11.5	2	34.45	2		2	0						12	1,026	JIRISAN HO(CHIRISAN HO)
East Sea	102	05	1982-02-10 15:40	36.0767	129.6883	Chart	72	10.4	2	34.28	2		2	0						12	1,026	JIRISAN HO(CHIRISAN HO)
East Sea	102	05	1982-02-10 15:40	36.0767	129.6883	Chart	80	6.8	2	34.19	2		2	0						12	1,026	JIRISAN HO(CHIRISAN HO)
East Sea	102	05	1982-02-10 15:40	36.0767	129.6883	Chart	100	3.5	1	34.06	1		1	1						12	1,026	JIRISAN HO(CHIRISAN HO)
East Sea	102	05	1982-02-10 15:40	36.0767	129.6883	Chart	119	2.5	1	34.02	1		1	1						12	1,026	JIRISAN HO(CHIRISAN HO)
East Sea	102	05	1982-02-10 15:40	36.0767	129.6883	Chart	160	1.4	2	34.03	2		2	0						12	1,026	JIRISAN HO(CHIRISAN HO)
East Sea	102	05	1982-04-07 14:50	36.0767	129.6883	Chart	0	14.0	1	34.54	1		1	1						11	1,010	JIRISAN HO(CHIRISAN HO)
East Sea	102	05	1982-04-07 14:50	36.0767	129.6883	Chart	10	13.9	1	34.53	1		1	1						11	1,010	JIRISAN HO(CHIRISAN HO)
East Sea	102	05	1982-04-07 14:50	36.0767	129.6883	Chart	20	13.7	1	34.52	1		1	1						11	1,010	JIRISAN HO(CHIRISAN HO)
East Sea	102	05	1982-04-07 14:50	36.0767	129.6883	Chart	30	13.0	1	34.48	1		1	1						11	1,010	JIRISAN HO(CHIRISAN HO)
East Sea	102	05	1982-04-07 14:50	36.0767	129.6883	Chart	50	12.2	1	34.45	1		1	1						11	1,010	JIRISAN HO(CHIRISAN HO)
East Sea	102	05	1982-04-07 14:50	36.0767	129.6883	Chart	75	10.7	1	34.40	1		1	1						11	1,010	JIRISAN HO(CHIRISAN HO)
East Sea	102	05	1982-04-07 14:50	36.0767	129.6883	Chart	105	9.5	1	34.21	1		1	1						11	1,010	JIRISAN HO(CHIRISAN HO)
East Sea	102	05	1982-04-07 14:50	36.0767	129.6883	Chart	132	2.9	1	34.10	1		1	1						11	1,010	JIRISAN HO(CHIRISAN HO)
East Sea	102	05	1982-04-07 14:50	36.0767	129.6883	Chart	144	1.0	1	34.05	1		1	1						11	1,010	JIRISAN HO(CHIRISAN HO)
East Sea	102	05	1982-04-07 14:50	36.0767	129.6883	Chart	208	0.5	1	34.03	1		1	1						11	1,010	JIRISAN HO(CHIRISAN HO)
East Sea	102	05	1982-06-09 18:05	36.0767	129.6883	Chart	0	20.6	1		4		1	1						15	1,013.5	JIRISAN HO(CHIRISAN HO)
East Sea	102	05	1982-06-09 18:05	36.0767	129.6883	Chart	10	19.6	1	34.31	1		1	1						15	1,013.5	JIRISAN HO(CHIRISAN HO)
East Sea	102	05	1982-06-09 18:05	36.0767	129.6883	Chart	20	17.4	1	34.28	1		1	1						15	1,013.5	JIRISAN HO(CHIRISAN HO)
East Sea	102	05	1982-06-09 18:05	36.0767	129.6883	Chart	23	14.7	2	34.39	2		2	0						15	1,013.5	JIRISAN HO(CHIRISAN HO)
East Sea	102	05	1982-06-09 18:05	36.0767	129.6883	Chart	35	14.4	2	34.40	2		2	0						15	1,013.5	JIRISAN HO(CHIRISAN HO)
East Sea	102	05	1982-06-09 18:05	36.0767	129.6883	Chart	55	13.7	1	34.42	1		1	1						15	1,013.5	JIRISAN HO(CHIRISAN HO)
East Sea	102	05	1982-06-09 18:05	36.0767	129.6883	Chart	69	13.5	1	34.43	1		1	1						15	1,013.5	JIRISAN HO(CHIRISAN HO)
East Sea	102	05	1982-06-09 18:05	36.0767	129.6883	Chart	93	4.9	1	34.20	1		1	1						15	1,013.5	JIRISAN HO(CHIRISAN HO)
East Sea	102	05	1982-06-09 18:05	36.0767	129.6883	Chart	119	2.5	1	34.13	1		1	1						15	1,013.5	JIRISAN HO(CHIRISAN HO)
East Sea	102	05	1982-06-09 18:05	36.0767	129.6883	Chart	165	1.5	2	34.08	2		2	0						15	1,013.5	JIRISAN HO(CHIRISAN HO)
East Sea	102	05	1982-08-05 22:00	36.0767	129.6883	Chart	0	24.0	1	32.65	1		1	1							1,006	JIRISAN HO(CHIRISAN HO)
East Sea	102	05	1982-08-05 22:00	36.0767	129.6883	Chart	10	22.8	1	33.04	1		1	1							1,006	JIRISAN HO(CHIRISAN HO)
East Sea	102	05	1982-08-05 22:00	36.0767	129.6883	Chart	20	22.5	1	33.25	1		1	1							1,006	JIRISAN HO(CHIRISAN HO)
East Sea	102	05	1982-08-05 22:00	36.0767	129.6883	Chart	28	14.2	2	34.10	2		2	0							1,006	JIRISAN HO(CHIRISAN HO)
East Sea	102	05	1982-08-05 22:00	36.0767	129.6883	Chart	44	9.8	2	34.22	2		2	0							1,006	JIRISAN HO(CHIRISAN HO)
East Sea	102	05	1982-08-05 22:00	36.0767	129.6883	Chart	63	8.4	2	34.24	2		2	0							1,006	JIRISAN HO(CHIRISAN HO)
East Sea	102	05	1982-08-05 22:00	36.0767	129.6883	Chart	84	5.0	2	34.17	2		2	0							1,006	JIRISAN HO(CHIRISAN HO)
East Sea	102	05	1982-08-05 22:00	36.0767	129.6883	Chart	99	3.2	1	34.07	1		1	1							1,006	JIRISAN HO(CHIRISAN HO)
East Sea	102	05	1982-08-05 22:00	36.0767	129.6883	Chart	120	2.5	1	34.06	1		1	1							1,006	JIRISAN HO(CHIRISAN HO)
East Sea	102	05	1982-08-05 22:00	36.0767	129.6883	Chart	163	1.5	2	34.05	2		2	0							1,006	JIRISAN HO(CHIRISAN HO)
East Sea	102	05	1982-10-07 14:35	36.0767	129.6883	Chart	0	21.5	1	32.72	1	5.14	1	1						16	1,013	JIRISAN HO(CHIRISAN HO)
East Sea	102	05	1982-10-07 14:35	36.0767	129.6883	Chart	10	21.5	1	32.94	1	5.35	1	1						16	1,013	JIRISAN HO(CHIRISAN HO)
East Sea	102	05	1982-10-07 14:35	36.0767	129.6883	Chart	20	20.7	1	32.90	1	5.43	1	1						16	1,013	JIRISAN HO(CHIRISAN HO)
East Sea	102	05	1982-10-07 14:35	36.0767	129.6883	Chart	27	17.7	2	33.27	2	5.22	2	0						16	1,013	JIRISAN HO(CHIRISAN HO)
East Sea	102	05	1982-10-07 14:35	36.0767	129.6883	Chart	43	14.5	2	34.25	2	5.42	2	0						16	1,013	JIRISAN HO(CHIRISAN HO)
East Sea	102	05	1982-10-07 14:35	36.0767	129.6883	Chart	55	9.4	1	34.29	1	5.43	1	1						16	1,013	JIRISAN HO(CHIRISAN HO)
East Sea	102	05	1982-10-07 14:35	36.0767	129.6883	Chart	66	8.2	2		2	5.33	2	0						16	1,013	JIRISAN HO(CHIRISAN HO)
East Sea	102	05	1982-10-07 14:35	36.0767	129.6883	Chart	79	3.0	2	34.04	2	5.22	2	0						16	1,013	JIRISAN HO(CHIRISAN HO)
East Sea	102	05	1982-10-07 14:35	36.0767	129.6883	Chart	96	1.7	1	34.07	1	5.38	1	1						16	1,013	JIRISAN HO(CHIRISAN HO)
