癤�Area	Line	Station	Date(YYYY-MM-DD)	Latitude	Longitude	Vertical change chart	Depth(m)	Water Temperature(℃)	T QC flag	Salinity(psu)	S QC flag	DO(ml/L)	D QC flag	QC Level	PO４(μmol/L)	NO２(μmol/L)	NO３(μmol/L)	SiO２(μmol/L)	pH	Water Transparency(m)	Baro(hPa)	Research Vessel
East Sea	102	00	1997-02-05 13:55	36.0767	129.5883	Chart	0	13.7	1	34.47	1	6.28	1	1	0.15	0.23	9.98	9.46		11	1,020	GYONGBUK 885(KYONGBUK 885)
East Sea	102	00	1997-02-05 13:55	36.0767	129.5883	Chart	10	13.6	1	34.46	1	6.3	1	1						11	1,020	GYONGBUK 885(KYONGBUK 885)
East Sea	102	00	1997-02-05 13:55	36.0767	129.5883	Chart	20	13.0	1	34.40	1	6.41	1	1	0.17	0.37	10.55	10.13		11	1,020	GYONGBUK 885(KYONGBUK 885)
East Sea	102	00	1997-02-05 13:55	36.0767	129.5883	Chart	30	12.2	1	34.40	1	6.45	1	1						11	1,020	GYONGBUK 885(KYONGBUK 885)
East Sea	102	00	1997-04-07 16:35	36.0767	129.5883	Chart	0	14.3	1	34.41	1	6.08	1	1	0.48	0.35	2.08	7.33		16	1,014	GYONGBUK 885(KYONGBUK 885)
East Sea	102	00	1997-04-07 16:35	36.0767	129.5883	Chart	10	13.8	1	34.42	1	6.3	1	1						16	1,014	GYONGBUK 885(KYONGBUK 885)
East Sea	102	00	1997-04-07 16:35	36.0767	129.5883	Chart	20	13.6	1	34.45	1	6.33	1	1	0.3	0.36	2.08	7.38		16	1,014	GYONGBUK 885(KYONGBUK 885)
East Sea	102	00	1997-04-07 16:35	36.0767	129.5883	Chart	30	12.8	1	34.44	1	6.35	1	1						16	1,014	GYONGBUK 885(KYONGBUK 885)
East Sea	102	00	1997-04-07 16:35	36.0767	129.5883	Chart	50	6.2	1	34.38	1	5.64	1	1						16	1,014	GYONGBUK 885(KYONGBUK 885)
East Sea	102	00	1997-06-04 18:00	36.0767	129.5883	Chart	0	16.5	1	34.03	1	5.38	1	1	0.28	0.05	1.58	7.41			1,011	GYONGBUK 885(KYONGBUK 885)
East Sea	102	00	1997-06-04 18:00	36.0767	129.5883	Chart	10	14.7	1	34.22	1	5.13	1	1							1,011	GYONGBUK 885(KYONGBUK 885)
East Sea	102	00	1997-06-04 18:00	36.0767	129.5883	Chart	20	13.6	1	34.34	1	4.55	1	1	0.19	0.11	2.18	7.87			1,011	GYONGBUK 885(KYONGBUK 885)
East Sea	102	00	1997-06-04 18:00	36.0767	129.5883	Chart	30	13.0	1	34.35	1	4.34	1	1							1,011	GYONGBUK 885(KYONGBUK 885)
East Sea	102	00	1997-06-04 18:00	36.0767	129.5883	Chart	50	10.7	1	34.36	1	4.25	1	1							1,011	GYONGBUK 885(KYONGBUK 885)
East Sea	102	00	1997-08-25 10:20	36.0767	129.5883	Chart	0	19.5	1	33.42	1	5.58	1	1	0.06	0.12	0.28	5.39		6.5	1,014.5	GYONGBUK 885(KYONGBUK 885)
East Sea	102	00	1997-08-25 10:20	36.0767	129.5883	Chart	10	16.5	1	33.74	1	5.56	1	1						6.5	1,014.5	GYONGBUK 885(KYONGBUK 885)
East Sea	102	00	1997-08-25 10:20	36.0767	129.5883	Chart	20	15.5	1	34.16	1	5.4	1	1	0.18	0.2	0.46	5.2		6.5	1,014.5	GYONGBUK 885(KYONGBUK 885)
East Sea	102	00	1997-08-25 10:20	36.0767	129.5883	Chart	30	14.5	1	34.10	1	4.95	1	1						6.5	1,014.5	GYONGBUK 885(KYONGBUK 885)
East Sea	102	00	1997-12-13 11:35	36.0767	129.5883	Chart	0	14.8	1	33.97	1	5.36	1	1	0.41	0.5	6.76	9.47		14	1,029	GYONGBUK 885(KYONGBUK 885)
East Sea	102	00	1997-12-13 11:35	36.0767	129.5883	Chart	10	14.7	1	33.76	1	5.32	1	1						14	1,029	GYONGBUK 885(KYONGBUK 885)
East Sea	102	00	1997-12-13 11:35	36.0767	129.5883	Chart	20	13.5	1	33.76	1	5.48	1	1	0.14	0.17	3.45	11.7		14	1,029	GYONGBUK 885(KYONGBUK 885)
East Sea	102	00	1997-12-13 11:35	36.0767	129.5883	Chart	30	12.9	1	33.68	1	5.45	1	1						14	1,029	GYONGBUK 885(KYONGBUK 885)
East Sea	102	00	1997-12-13 11:35	36.0767	129.5883	Chart	50	12.7	1	33.75	1	5.52	1	1						14	1,029	GYONGBUK 885(KYONGBUK 885)
East Sea	102	04	1997-02-05 14:10	36.0767	129.615	Chart	0	13.8	1	34.44	1	6.32	1	1						10	1,020	GYONGBUK 885(KYONGBUK 885)
East Sea	102	04	1997-02-05 14:10	36.0767	129.615	Chart	10	13.8	1	34.44	1	6.38	1	1						10	1,020	GYONGBUK 885(KYONGBUK 885)
East Sea	102	04	1997-02-05 14:10	36.0767	129.615	Chart	20	13.7	1	34.45	1	6.45	1	1						10	1,020	GYONGBUK 885(KYONGBUK 885)
East Sea	102	04	1997-02-05 14:10	36.0767	129.615	Chart	30	13.4	1	34.41	1	6.51	1	1						10	1,020	GYONGBUK 885(KYONGBUK 885)
East Sea	102	04	1997-02-05 14:10	36.0767	129.615	Chart	50	11.4	1	34.40	1	6.59	1	1						10	1,020	GYONGBUK 885(KYONGBUK 885)
East Sea	102	04	1997-04-07 17:00	36.0767	129.615	Chart	0	14.3	1	34.39	1	6.29	1	1							1,014	GYONGBUK 885(KYONGBUK 885)
East Sea	102	04	1997-04-07 17:00	36.0767	129.615	Chart	10	13.8	1	34.37	1	6.22	1	1							1,014	GYONGBUK 885(KYONGBUK 885)
