癤�Area	Line	Station	Date(YYYY-MM-DD)	Latitude	Longitude	Vertical change chart	Depth(m)	Water Temperature(℃)	T QC flag	Salinity(psu)	S QC flag	DO(ml/L)	D QC flag	QC Level	PO４(μmol/L)	NO２(μmol/L)	NO３(μmol/L)	SiO２(μmol/L)	pH	Water Transparency(m)	Baro(hPa)	Research Vessel
East Sea	102	00	2022-02-13 08:11	36.0767	129.5883	Chart	0	12.5	1	34.33	1		1	1							1,019	TAMGU 3
East Sea	102	00	2022-02-13 08:11	36.0767	129.5883	Chart	10	12.5	1	34.33	1		1	1							1,019	TAMGU 3
East Sea	102	00	2022-02-13 08:11	36.0767	129.5883	Chart	20	11.6	1	34.32	1		1	1							1,019	TAMGU 3
East Sea	102	00	2022-02-13 08:11	36.0767	129.5883	Chart	30	11.4	1	34.32	1		1	1							1,019	TAMGU 3
East Sea	102	00	2022-04-17 14:03	36.0767	129.5883	Chart	0	15.5	1	34.28	1		1	1						7	1,015	TAMGU 3
East Sea	102	00	2022-04-17 14:03	36.0767	129.5883	Chart	10	13.1	1	34.22	1		1	1						7	1,015	TAMGU 3
East Sea	102	00	2022-04-17 14:03	36.0767	129.5883	Chart	20	12.2	1	34.22	1		1	1						7	1,015	TAMGU 3
East Sea	102	00	2022-04-17 14:03	36.0767	129.5883	Chart	30	11.9	1	34.22	1		1	1						7	1,015	TAMGU 3
East Sea	102	00	2022-06-21 10:43	36.0767	129.5883	Chart	0	21.1	1	33.67	1		1	1						10	1,002	TAMGU 3
East Sea	102	00	2022-06-21 10:43	36.0767	129.5883	Chart	10	18.8	1	33.81	1		1	1						10	1,002	TAMGU 3
East Sea	102	00	2022-06-21 10:43	36.0767	129.5883	Chart	20	17.5	1	33.95	1		1	1						10	1,002	TAMGU 3
East Sea	102	00	2022-06-21 10:43	36.0767	129.5883	Chart	30	14.8	1	34.15	1		1	1						10	1,002	TAMGU 3
East Sea	102	00	2022-08-04 13:10	36.0767	129.5883	Chart	0	26.1	1	32.52	1		1	1						7	1,005	TAMGU 3
East Sea	102	00	2022-08-04 13:10	36.0767	129.5883	Chart	10	22.7	1	32.96	1		1	1						7	1,005	TAMGU 3
East Sea	102	00	2022-08-04 13:10	36.0767	129.5883	Chart	20	14.5	1	34.18	1		1	1						7	1,005	TAMGU 3
East Sea	102	00	2022-08-04 13:10	36.0767	129.5883	Chart	30	13.5	1	34.29	1		1	1						7	1,005	TAMGU 3
East Sea	102	00	2022-10-16 12:47	36.0767	129.5883	Chart	0	20.5	1	33.21	1		1	1						7	1,018	TAMGU 3
East Sea	102	00	2022-10-16 12:47	36.0767	129.5883	Chart	10	18.5	1	33.15	1		1	1						7	1,018	TAMGU 3
East Sea	102	00	2022-10-16 12:47	36.0767	129.5883	Chart	20	16.9	1	33.22	1		1	1						7	1,018	TAMGU 3
East Sea	102	00	2022-12-17 11:45	36.0767	129.5883	Chart	0	15.4	1	34.14	1		1	1						10	1,020	TAMGU 3
East Sea	102	00	2022-12-17 11:45	36.0767	129.5883	Chart	10	15.4	1	34.14	1		1	1						10	1,020	TAMGU 3
East Sea	102	00	2022-12-17 11:45	36.0767	129.5883	Chart	20	15.2	1	34.14	1		1	1						10	1,020	TAMGU 3
East Sea	102	04	2022-02-13 07:51	36.0767	129.615	Chart	0	13.0	1	34.36	1	5.8232	1	1	0.451	0.452	6.651	11.011			1,019	TAMGU 3
East Sea	102	04	2022-02-13 07:51	36.0767	129.615	Chart	10	13.0	1	34.36	1		1	1							1,019	TAMGU 3
East Sea	102	04	2022-02-13 07:51	36.0767	129.615	Chart	20	12.3	1	34.28	1		1	1							1,019	TAMGU 3
East Sea	102	04	2022-02-13 07:51	36.0767	129.615	Chart	30	11.7	1	34.23	1		1	1							1,019	TAMGU 3
East Sea	102	04	2022-02-13 07:51	36.0767	129.615	Chart	50	10.9	1	34.25	1		1	1							1,019	TAMGU 3
East Sea	102	04	2022-02-13 07:51	36.0767	129.615	Chart	75	10.2	1	34.33	1		1	1							1,019	TAMGU 3
East Sea	102	04	2022-04-17 14:19	36.0767	129.615	Chart	0	15.7	1	34.31	1	5.249	1	1	0.255	0.248	2.647	6.635		10	1,015	TAMGU 3
East Sea	102	04	2022-04-17 14:19	36.0767	129.615	Chart	10	14.7	1	34.26	1		1	1						10	1,015	TAMGU 3
East Sea	102	04	2022-04-17 14:19	36.0767	129.615	Chart	20	14.4	1	34.25	1		1	1						10	1,015	TAMGU 3
East Sea	102	04	2022-04-17 14:19	36.0767	129.615	Chart	30	13.8	1	34.22	1		1	1						10	1,015	TAMGU 3
East Sea	102	04	2022-04-17 14:19	36.0767	129.615	Chart	50	11.4	1	34.16	1		1	1						10	1,015	TAMGU 3
East Sea	102	04	2022-04-17 14:19	36.0767	129.615	Chart	75	3.9	1	34.07	1		1	1						10	1,015	TAMGU 3
East Sea	102	04	2022-06-21 10:13	36.0767	129.615	Chart	0	19.4	1	33.87	1	5.9879	1	1	0.107	0.028	2.574	7.503		6	1,002	TAMGU 3
East Sea	102	04	2022-06-21 10:13	36.0767	129.615	Chart	10	17.3	1	33.98	1		1	1						6	1,002	TAMGU 3
East Sea	102	04	2022-06-21 10:13	36.0767	129.615	Chart	20	15.8	1	34.08	1		1	1						6	1,002	TAMGU 3
East Sea	102	04	2022-06-21 10:13	36.0767	129.615	Chart	30	14.8	1	34.24	1		1	1						6	1,002	TAMGU 3
East Sea	102	04	2022-06-21 10:13	36.0767	129.615	Chart	50	13.3	1	34.31	1		1	1						6	1,002	TAMGU 3
East Sea	102	04	2022-06-21 10:13	36.0767	129.615	Chart	75	5.0	1	34.10	1		1	1						6	1,002	TAMGU 3
East Sea	102	04	2022-08-04 13:33	36.0767	129.615	Chart	0	26.2	1	32.54	1	5.5058	1	1	0.105	0	1.372	1.118		6	1,005	TAMGU 3
East Sea	102	04	2022-08-04 13:33	36.0767	129.615	Chart	10	16.6	1	33.87	1		1	1						6	1,005	TAMGU 3
East Sea	102	04	2022-08-04 13:33	36.0767	129.615	Chart	20	13.9	1	34.29	1		1	1						6	1,005	TAMGU 3
East Sea	102	04	2022-08-04 13:33	36.0767	129.615	Chart	30	13.3	1	34.31	1		1	1						6	1,005	TAMGU 3
East Sea	102	04	2022-08-04 13:33	36.0767	129.615	Chart	50	11.1	1	34.26	1		1	1						6	1,005	TAMGU 3
East Sea	102	04	2022-08-04 13:33	36.0767	129.615	Chart	75	8.0	1	34.19	1		1	1						6	1,005	TAMGU 3
East Sea	102	04	2022-10-16 12:22	36.0767	129.615	Chart	0	21.5	1	33.20	1	6.5312	1	1	0.139	0.047	1.708	6.757		9	1,018	TAMGU 3
East Sea	102	04	2022-10-16 12:22	36.0767	129.615	Chart	10	21.5	1	33.20	1		1	1						9	1,018	TAMGU 3
East Sea	102	04	2022-10-16 12:22	36.0767	129.615	Chart	20	19.9	1	33.22	1		1	1						9	1,018	TAMGU 3
East Sea	102	04	2022-10-16 12:22	36.0767	129.615	Chart	30	12.5	1	33.85	1		1	1						9	1,018	TAMGU 3
East Sea	102	04	2022-10-16 12:22	36.0767	129.615	Chart	50	4.0	1	34.11	1		1	1						9	1,018	TAMGU 3
East Sea	102	04	2022-12-17 11:17	36.0767	129.615	Chart	0	16.3	1	34.12	1	4.8582	1	1	0.513	0.326	7.492	12.206		16	1,020	TAMGU 3
East Sea	102	04	2022-12-17 11:17	36.0767	129.615	Chart	10	16.3	1	34.12	1		1	1						16	1,020	TAMGU 3
East Sea	102	04	2022-12-17 11:17	36.0767	129.615	Chart	20	16.3	1	34.12	1		1	1						16	1,020	TAMGU 3
East Sea	102	04	2022-12-17 11:17	36.0767	129.615	Chart	30	16.2	1	34.12	1		1	1						16	1,020	TAMGU 3
East Sea	102	04	2022-12-17 11:17	36.0767	129.615	Chart	50	15.6	1	34.22	1		1	1						16	1,020	TAMGU 3
East Sea	102	04	2022-12-17 11:17	36.0767	129.615	Chart	75	5.9	1	34.13	1		1	1						16	1,020	TAMGU 3
East Sea	102	05	2022-02-13 07:15	36.0767	129.6883	Chart	0	13.1	1	34.27	1	5.5855	1	1	0.472	0.529	6.783	11.1			1,019	TAMGU 3
East Sea	102	05	2022-02-13 07:15	36.0767	129.6883	Chart	10	13.1	1	34.35	1		1	1							1,019	TAMGU 3
East Sea	102	05	2022-02-13 07:15	36.0767	129.6883	Chart	20	13.1	1	34.35	1	5.5937	1	1	0.534	0.566	7.856	12.308			1,019	TAMGU 3
East Sea	102	05	2022-02-13 07:15	36.0767	129.6883	Chart	30	12.1	1	34.30	1		1	1							1,019	TAMGU 3
East Sea	102	05	2022-02-13 07:15	36.0767	129.6883	Chart	50	12.1	1	34.30	1	5.6697	1	1	0.518	0.484	7.346	11.79			1,019	TAMGU 3
East Sea	102	05	2022-02-13 07:15	36.0767	129.6883	Chart	75	12.1	1	34.31	1		1	1							1,019	TAMGU 3
East Sea	102	05	2022-02-13 07:15	36.0767	129.6883	Chart	100	6.0	1	34.13	1	5.2466	1	1	1.106	0.043	15.662	19.205			1,019	TAMGU 3
East Sea	102	05	2022-04-17 15:03	36.0767	129.6883	Chart	0	15.9	1	34.40	1	5.9168	1	1	0.242	0.248	2.366	5.85		11	1,014	TAMGU 3
East Sea	102	05	2022-04-17 15:03	36.0767	129.6883	Chart	10	15.4	1	34.39	1		1	1						11	1,014	TAMGU 3
