癤�Area	Line	Station	Date(YYYY-MM-DD)	Latitude	Longitude	Vertical change chart	Depth(m)	Water Temperature(℃)	T QC flag	Salinity(psu)	S QC flag	DO(ml/L)	D QC flag	QC Level	PO４(μmol/L)	NO２(μmol/L)	NO３(μmol/L)	SiO２(μmol/L)	pH	Water Transparency(m)	Baro(hPa)	Research Vessel
East Sea	102	00	2023-02-28 15:21	36.0767	129.5883	Chart	0	12.7	1	34.31	1		1	1						9	1,020	TAMGU 3
East Sea	102	00	2023-02-28 15:21	36.0767	129.5883	Chart	10	12.6	1	34.31	1		1	1						9	1,020	TAMGU 3
East Sea	102	00	2023-02-28 15:21	36.0767	129.5883	Chart	20	12.5	1	34.32	1		1	1						9	1,020	TAMGU 3
East Sea	102	00	2023-02-28 15:21	36.0767	129.5883	Chart	30	12.4	1	34.32	1		1	1						9	1,020	TAMGU 3
East Sea	102	00	2023-04-14 03:24	36.0767	129.5883	Chart	0	12.4	1	34.24	1		1	1							1,012	TAMGU 3
East Sea	102	00	2023-04-14 03:24	36.0767	129.5883	Chart	10	12.2	1	34.23	1		1	1							1,012	TAMGU 3
East Sea	102	00	2023-04-14 03:24	36.0767	129.5883	Chart	20	9.2	1	34.16	1		1	1							1,012	TAMGU 3
East Sea	102	00	2023-04-14 03:24	36.0767	129.5883	Chart	30	5.9	1	34.07	1		1	1							1,012	TAMGU 3
East Sea	102	00	2023-07-03 09:41	36.0767	129.5883	Chart	0	17.5	1	33.73	1		1	1							1,005	TAMGU 3
East Sea	102	00	2023-07-03 09:41	36.0767	129.5883	Chart	10	13.1	1	34.18	1		1	1							1,005	TAMGU 3
East Sea	102	00	2023-07-03 09:41	36.0767	129.5883	Chart	20	12.3	1	34.25	1		1	1							1,005	TAMGU 3
East Sea	102	00	2023-07-03 09:41	36.0767	129.5883	Chart	30	11.8	1	34.26	1		1	1							1,005	TAMGU 3
East Sea	102	00	2023-08-13 11:11	36.0767	129.5883	Chart	0	24.6	1	32.23	1		1	1						17	1,003	TAMGU 3
East Sea	102	00	2023-08-13 11:11	36.0767	129.5883	Chart	10	23.5	1	32.53	1		1	1						17	1,003	TAMGU 3
East Sea	102	00	2023-08-13 11:11	36.0767	129.5883	Chart	20	20.5	1	33.22	1		1	1						17	1,003	TAMGU 3
East Sea	102	00	2023-10-29 08:50	36.0767	129.5883	Chart	0	19.0	1	31.52	1		1	1						13	1,019	TAMGU 3
East Sea	102	00	2023-10-29 08:50	36.0767	129.5883	Chart	10	19.0	1	33.01	1		1	1						13	1,019	TAMGU 3
East Sea	102	00	2023-10-29 08:50	36.0767	129.5883	Chart	20	19.0	1	33.02	1		1	1						13	1,019	TAMGU 3
East Sea	102	00	2023-10-29 08:50	36.0767	129.5883	Chart	30	18.7	1	33.13	1		1	1						13	1,019	TAMGU 3
East Sea	102	00	2023-12-19 08:32	36.0767	129.5883	Chart	0	13.6	1	34.01	1		1	1						6.4	1,024	TAMGU 3
East Sea	102	00	2023-12-19 08:32	36.0767	129.5883	Chart	10	13.6	1	34.01	1		1	1						6.4	1,024	TAMGU 3
East Sea	102	00	2023-12-19 08:32	36.0767	129.5883	Chart	20	13.7	1	34.11	1		1	1						6.4	1,024	TAMGU 3
East Sea	102	00	2023-12-19 08:32	36.0767	129.5883	Chart	30	13.7	1	34.12	1		1	1						6.4	1,024	TAMGU 3
East Sea	102	04	2023-02-28 15:01	36.0767	129.615	Chart	0	12.8	1	34.30	1	6.1591	1	1	0.519	0.465	6.595	11.667		7	1,020	TAMGU 3
East Sea	102	04	2023-02-28 15:01	36.0767	129.615	Chart	10	12.8	1	34.30	1		1	1						7	1,020	TAMGU 3
East Sea	102	04	2023-02-28 15:01	36.0767	129.615	Chart	20	12.6	1	34.31	1		1	1						7	1,020	TAMGU 3
East Sea	102	04	2023-02-28 15:01	36.0767	129.615	Chart	30	12.4	1	34.32	1		1	1						7	1,020	TAMGU 3
East Sea	102	04	2023-02-28 15:01	36.0767	129.615	Chart	50	10.5	1	34.23	1		1	1						7	1,020	TAMGU 3
East Sea	102	04	2023-04-14 03:45	36.0767	129.615	Chart	0	12.4	1	34.22	1	6.1102	1	1	0.427	0.254	5.837	12.677			1,011	TAMGU 3
East Sea	102	04	2023-04-14 03:45	36.0767	129.615	Chart	10	12.4	1	34.22	1		1	1							1,011	TAMGU 3
East Sea	102	04	2023-04-14 03:45	36.0767	129.615	Chart	20	11.5	1	34.20	1		1	1							1,011	TAMGU 3
East Sea	102	04	2023-04-14 03:45	36.0767	129.615	Chart	30	7.3	1	34.12	1		1	1							1,011	TAMGU 3
East Sea	102	04	2023-04-14 03:45	36.0767	129.615	Chart	50	3.8	1	34.04	1		1	1							1,011	TAMGU 3
East Sea	102	04	2023-04-14 03:45	36.0767	129.615	Chart	75	2.6	1	34.01	1		1	1							1,011	TAMGU 3
East Sea	102	04	2023-07-03 10:10	36.0767	129.615	Chart	0	16.9	1	33.67	1	5.6652	1	1	0.379	0.218	5.634	14.548			1,005	TAMGU 3
East Sea	102	04	2023-07-03 10:10	36.0767	129.615	Chart	10	14.2	1	34.14	1		1	1							1,005	TAMGU 3
East Sea	102	04	2023-07-03 10:10	36.0767	129.615	Chart	20	12.0	1	34.27	1		1	1							1,005	TAMGU 3
East Sea	102	04	2023-07-03 10:10	36.0767	129.615	Chart	30	10.3	1	34.23	1		1	1							1,005	TAMGU 3
East Sea	102	04	2023-07-03 10:10	36.0767	129.615	Chart	50	7.1	1	34.13	1		1	1							1,005	TAMGU 3
East Sea	102	04	2023-07-03 10:10	36.0767	129.615	Chart	75	3.8	1	34.03	1		1	1							1,005	TAMGU 3
East Sea	102	04	2023-08-13 10:38	36.0767	129.615	Chart	0	24.6	1	32.54	1	4.8559	1	1	0.076	0.07	1.483	4.747		17	1,003	TAMGU 3
East Sea	102	04	2023-08-13 10:38	36.0767	129.615	Chart	10	23.4	1	32.71	1		1	1						17	1,003	TAMGU 3
East Sea	102	04	2023-08-13 10:38	36.0767	129.615	Chart	20	20.3	1	33.29	1		1	1						17	1,003	TAMGU 3
East Sea	102	04	2023-08-13 10:38	36.0767	129.615	Chart	30	16.9	1	33.79	1		1	1						17	1,003	TAMGU 3
East Sea	102	04	2023-08-13 10:38	36.0767	129.615	Chart	50	13.4	1	34.23	1		1	1						17	1,003	TAMGU 3
East Sea	102	04	2023-08-13 10:38	36.0767	129.615	Chart	75	10.5	1	34.19	1		1	1						17	1,003	TAMGU 3
East Sea	102	04	2023-10-29 09:20	36.0767	129.615	Chart	0	19.9	1	32.92	1	6.2795	1	1	0.158	0.128	1.944	5.399		14	1,019	TAMGU 3
East Sea	102	04	2023-10-29 09:20	36.0767	129.615	Chart	10	19.9	1	33.16	1		1	1						14	1,019	TAMGU 3
East Sea	102	04	2023-10-29 09:20	36.0767	129.615	Chart	20	19.4	1	33.18	1		1	1						14	1,019	TAMGU 3
East Sea	102	04	2023-10-29 09:20	36.0767	129.615	Chart	30	18.6	1	33.19	1		1	1						14	1,019	TAMGU 3
East Sea	102	04	2023-10-29 09:20	36.0767	129.615	Chart	50	8.3	1	34.19	1		1	1						14	1,019	TAMGU 3
East Sea	102	04	2023-10-29 09:20	36.0767	129.615	Chart	75	4.3	1	34.05	1		1	1						14	1,019	TAMGU 3
East Sea	102	04	2023-12-19 08:50	36.0767	129.615	Chart	0	13.5	1	34.03	1	6.9378	1	1	0.602	0.619	8.623	12.61		7.1	1,024	TAMGU 3
East Sea	102	04	2023-12-19 08:50	36.0767	129.615	Chart	10	13.5	1	34.03	1		1	1						7.1	1,024	TAMGU 3
East Sea	102	04	2023-12-19 08:50	36.0767	129.615	Chart	20	13.6	1	34.07	1		1	1						7.1	1,024	TAMGU 3
East Sea	102	04	2023-12-19 08:50	36.0767	129.615	Chart	30	13.6	1	34.08	1		1	1						7.1	1,024	TAMGU 3
East Sea	102	04	2023-12-19 08:50	36.0767	129.615	Chart	50	13.7	1	34.10	1		1	1						7.1	1,024	TAMGU 3
East Sea	102	04	2023-12-19 08:50	36.0767	129.615	Chart	75	13.5	1	34.12	1		1	1						7.1	1,024	TAMGU 3
East Sea	102	05	2023-02-28 14:24	36.0767	129.6883	Chart	0	13.3	1	34.31	1	6.1376	1	1	0.445	0.349	6.157	10.107		10	1,020	TAMGU 3
East Sea	102	05	2023-02-28 14:24	36.0767	129.6883	Chart	10	13.3	1	34.31	1		1	1						10	1,020	TAMGU 3
East Sea	102	05	2023-02-28 14:24	36.0767	129.6883	Chart	20	13.2	1	34.30	1	5.9533	1	1	0.446	0.334	6.236	10.113		10	1,020	TAMGU 3
East Sea	102	05	2023-02-28 14:24	36.0767	129.6883	Chart	30	13.2	1	34.30	1		1	1						10	1,020	TAMGU 3
East Sea	102	05	2023-02-28 14:24	36.0767	129.6883	Chart	50	12.6	1	34.26	1	5.7004	1	1	0.632	0.318	8.836	12.744		10	1,020	TAMGU 3
East Sea	102	05	2023-02-28 14:24	36.0767	129.6883	Chart	75	8.7	1	34.14	1		1	1						10	1,020	TAMGU 3
East Sea	102	05	2023-02-28 14:24	36.0767	129.6883	Chart	100	3.7	1	34.03	1	6.0791	1	1	1.524	0.165	19.797	25.954		10	1,020	TAMGU 3
East Sea	102	05	2023-02-28 14:24	36.0767	129.6883	Chart	125	2.2	1	34.01	1		1	1						10	1,020	TAMGU 3
East Sea	102	05	2023-02-28 14:24	36.0767	129.6883	Chart	150	1.5	1	34.00	1		1	1						10	1,020	TAMGU 3
East Sea	102	05	2023-04-14 04:10	36.0767	129.6883	Chart	0	14.3	1	34.28	1	5.7687	1	1	0.343	0.403	4.484	10.698			1,011	TAMGU 3
East Sea	102	05	2023-04-14 04:10	36.0767	129.6883	Chart	10	13.9	1	34.27	1		1	1							1,011	TAMGU 3
East Sea	102	05	2023-04-14 04:10	36.0767	129.6883	Chart	20	13.6	1	34.25	1	5.5708	1	1	0.447	0.516	5.931	11.358			1,011	TAMGU 3
East Sea	102	05	2023-04-14 04:10	36.0767	129.6883	Chart	30	13.1	1	34.23	1		1	1							1,011	TAMGU 3
East Sea	102	05	2023-04-14 04:10	36.0767	129.6883	Chart	50	8.0	1	34.13	1	5.2779	1	1	1.093	0.448	14.312	21.006			1,011	TAMGU 3
East Sea	102	05	2023-04-14 04:10	36.0767	129.6883	Chart	75	2.5	1	34.01	1		1	1							1,011	TAMGU 3
East Sea	102	05	2023-04-14 04:10	36.0767	129.6883	Chart	100	1.6	1	34.01	1	5.4948	1	1	1.53	0.061	21.043	27.281			1,011	TAMGU 3
East Sea	102	05	2023-07-03 10:52	36.0767	129.6883	Chart	0	18.4	1	33.79	1	5.5186	1	1	0.404	0.206	6.53	13.003			1,005	TAMGU 3
East Sea	102	05	2023-07-03 10:52	36.0767	129.6883	Chart	10	15.3	1	33.84	1		1	1							1,005	TAMGU 3
East Sea	102	05	2023-07-03 10:52	36.0767	129.6883	Chart	20	12.3	1	34.21	1	4.3469	1	1	1.134	0.402	15.971	22.674			1,005	TAMGU 3
East Sea	102	05	2023-07-03 10:52	36.0767	129.6883	Chart	30	10.4	1	34.26	1		1	1							1,005	TAMGU 3
