癤�Area	Line	Station	Date(YYYY-MM-DD)	Latitude	Longitude	Vertical change chart	Depth(m)	Water Temperature(℃)	T QC flag	Salinity(psu)	S QC flag	DO(ml/L)	D QC flag	QC Level	PO４(μmol/L)	NO２(μmol/L)	NO３(μmol/L)	SiO２(μmol/L)	pH	Water Transparency(m)	Baro(hPa)	Research Vessel
East Sea	102	00	2010-02-28 11:24	36.0767	129.5883	Chart	0	11.8	1	34.27	1		1	1							1,025	TAMGU 3
East Sea	102	00	2010-02-28 11:24	36.0767	129.5883	Chart	10	11.7	1	34.27	1		1	1							1,025	TAMGU 3
East Sea	102	00	2010-02-28 11:24	36.0767	129.5883	Chart	20	10.8	1	34.23	1		1	1							1,025	TAMGU 3
East Sea	102	00	2010-02-28 11:24	36.0767	129.5883	Chart	30	9.8	1	34.18	1		1	1							1,025	TAMGU 3
East Sea	102	00	2010-04-09 10:20	36.0767	129.5883	Chart	0		1		1	6.0403	1	1							1,026	TAMGU 3
East Sea	102	00	2010-04-09 10:20	36.0767	129.5883	Chart	10		1		1	6.0531	1	1							1,026	TAMGU 3
East Sea	102	00	2010-04-09 10:20	36.0767	129.5883	Chart	20		1		1	6.5204	1	1							1,026	TAMGU 3
East Sea	102	00	2010-04-09 10:20	36.0767	129.5883	Chart	30		1		1	6.7258	1	1							1,026	TAMGU 3
East Sea	102	00	2010-04-09 10:20	36.0767	129.5883	Chart	50		1		1	7.0407	1	1							1,026	TAMGU 3
East Sea	102	00	2010-06-23 09:05	36.0767	129.5883	Chart	0	19.7	1	33.99	1	5.234	1	1							1,016	TAMGU 3
East Sea	102	00	2010-06-23 09:05	36.0767	129.5883	Chart	10	19.0	1	33.99	1	5.2922	1	1							1,016	TAMGU 3
East Sea	102	00	2010-06-23 09:05	36.0767	129.5883	Chart	20	17.7	1	34.03	1	5.4266	1	1							1,016	TAMGU 3
East Sea	102	00	2010-06-23 09:05	36.0767	129.5883	Chart	30	13.2	1	34.13	1	5.9363	1	1							1,016	TAMGU 3
East Sea	102	00	2010-06-23 09:05	36.0767	129.5883	Chart	50	9.4	1	34.19	1	6.442	1	1							1,016	TAMGU 3
East Sea	102	00	2010-06-23 09:05	36.0767	129.5883	Chart	75	5.6	1	34.12	1	7.0222	1	1							1,016	TAMGU 3
