癤�Area	Line	Station	Date(YYYY-MM-DD)	Latitude	Longitude	Vertical change chart	Depth(m)	Water Temperature(℃)	T QC flag	Salinity(psu)	S QC flag	DO(ml/L)	D QC flag	QC Level	PO４(μmol/L)	NO２(μmol/L)	NO３(μmol/L)	SiO２(μmol/L)	pH	Water Transparency(m)	Baro(hPa)	Research Vessel
East Sea	102	04	1971-02-13 03:15	36.0767	129.615	Chart	0	9.8	1	34.22	1	6.27	1	1	0.08			8.59			1,024	JIRISAN HO(CHIRISAN HO)
East Sea	102	04	1971-02-13 03:15	36.0767	129.615	Chart	10	10.0	1		4	6.3	1	1	0.06			14.11			1,024	JIRISAN HO(CHIRISAN HO)
East Sea	102	04	1971-02-13 03:15	36.0767	129.615	Chart	20	10.1	1	34.24	1	6.38	1	1				9.82			1,024	JIRISAN HO(CHIRISAN HO)
East Sea	102	04	1971-02-13 03:15	36.0767	129.615	Chart	30	10.1	1	34.23	1	6.25	1	1	0.11			11.66			1,024	JIRISAN HO(CHIRISAN HO)
East Sea	102	04	1971-02-13 03:15	36.0767	129.615	Chart	50	9.7	1	34.33	1	6.43	1	1				11.04			1,024	JIRISAN HO(CHIRISAN HO)
East Sea	102	04	1971-04-10 16:00	36.0767	129.615	Chart	0	13.1	1	34.31	1		1	1						9	1,020	JIRISAN HO(CHIRISAN HO)
East Sea	102	04	1971-04-10 16:00	36.0767	129.615	Chart	10	12.3	1	34.27	1		1	1						9	1,020	JIRISAN HO(CHIRISAN HO)
East Sea	102	04	1971-04-10 16:00	36.0767	129.615	Chart	20	11.8	1	34.25	1		1	1						9	1,020	JIRISAN HO(CHIRISAN HO)
East Sea	102	04	1971-04-10 16:00	36.0767	129.615	Chart	30	11.3	1	34.21	1		1	1						9	1,020	JIRISAN HO(CHIRISAN HO)
East Sea	102	04	1971-04-10 16:00	36.0767	129.615	Chart	50	11.1	1	34.21	1		1	1						9	1,020	JIRISAN HO(CHIRISAN HO)
East Sea	102	04	1971-06-15 13:45	36.0767	129.615	Chart	0	16.8	1	33.84	1		1	1						9	1,005.5	JIRISAN HO(CHIRISAN HO)
East Sea	102	04	1971-06-15 13:45	36.0767	129.615	Chart	10	16.6	1	33.81	1		1	1						9	1,005.5	JIRISAN HO(CHIRISAN HO)
