癤�Area	Line	Station	Date(YYYY-MM-DD)	Latitude	Longitude	Vertical change chart	Depth(m)	Water Temperature(℃)	T QC flag	Salinity(psu)	S QC flag	DO(ml/L)	D QC flag	QC Level	PO４(μmol/L)	NO２(μmol/L)	NO３(μmol/L)	SiO２(μmol/L)	pH	Water Transparency(m)	Baro(hPa)	Research Vessel
East Sea	102	04	1994-02-18 00:20	36.0767	129.615	Chart	0	13.7	1	34.62	1	4.92	1	1							1,020	BUSAN 881(PUSAN 881)
East Sea	102	04	1994-02-18 00:20	36.0767	129.615	Chart	10	13.7	1	34.62	1	4.93	1	1							1,020	BUSAN 881(PUSAN 881)
East Sea	102	04	1994-02-18 00:20	36.0767	129.615	Chart	20	13.6	1	34.61	1	4.94	1	1							1,020	BUSAN 881(PUSAN 881)
East Sea	102	04	1994-02-18 00:20	36.0767	129.615	Chart	30	13.6	1	34.60	1	4.86	1	1							1,020	BUSAN 881(PUSAN 881)
East Sea	102	04	1994-02-18 00:20	36.0767	129.615	Chart	50	13.3	1	34.54	1	4.79	1	1							1,020	BUSAN 881(PUSAN 881)
East Sea	102	04	1994-04-13 15:35	36.0767	129.615	Chart	0	12.0	1	34.48	1	5.7	1	1						10	1,012	BUSAN 851(PUSAN 851)
East Sea	102	04	1994-04-13 15:35	36.0767	129.615	Chart	10	11.9	1	34.45	1	5.65	1	1						10	1,012	BUSAN 851(PUSAN 851)
East Sea	102	04	1994-04-13 15:35	36.0767	129.615	Chart	20	11.5	1	34.61	1	5.13	1	1						10	1,012	BUSAN 851(PUSAN 851)
East Sea	102	04	1994-04-13 15:35	36.0767	129.615	Chart	30	8.4	1	34.49	1	5.24	1	1						10	1,012	BUSAN 851(PUSAN 851)
East Sea	102	04	1994-04-13 15:35	36.0767	129.615	Chart	50	3.1	1	34.03	1	6	1	1						10	1,012	BUSAN 851(PUSAN 851)
East Sea	102	04	1994-06-25 08:25	36.0767	129.615	Chart	0	18.6	1	34.00	1	5.35	1	1						11	1,003	GYONGBUK 885(KYONGBUK 885)
East Sea	102	04	1994-06-25 08:25	36.0767	129.615	Chart	10	18.6	1	34.18	1	5.53	1	1						11	1,003	GYONGBUK 885(KYONGBUK 885)
East Sea	102	04	1994-06-25 08:25	36.0767	129.615	Chart	20	16.1	1	34.28	1	5.59	1	1						11	1,003	GYONGBUK 885(KYONGBUK 885)
East Sea	102	04	1994-06-25 08:25	36.0767	129.615	Chart	30	11.6	1	34.20	1	5.29	1	1						11	1,003	GYONGBUK 885(KYONGBUK 885)
East Sea	102	04	1994-06-25 08:25	36.0767	129.615	Chart	50	4.7	1	34.15	1	5.3	1	1						11	1,003	GYONGBUK 885(KYONGBUK 885)
East Sea	102	04	1994-08-07 18:50	36.0767	129.615	Chart	0	18.4	1	33.88	1	6.61	1	1						10	1,018	GYONGBUK 885(KYONGBUK 885)
East Sea	102	04	1994-08-07 18:50	36.0767	129.615	Chart	10	15.2	1	34.08	1	6.37	1	1						10	1,018	GYONGBUK 885(KYONGBUK 885)
East Sea	102	04	1994-08-07 18:50	36.0767	129.615	Chart	20	12.2	1	34.19	1	6.21	1	1						10	1,018	GYONGBUK 885(KYONGBUK 885)
