癤�Area	Line	Station	Date(YYYY-MM-DD)	Latitude	Longitude	Vertical change chart	Depth(m)	Water Temperature(℃)	T QC flag	Salinity(psu)	S QC flag	DO(ml/L)	D QC flag	QC Level	PO４(μmol/L)	NO２(μmol/L)	NO３(μmol/L)	SiO２(μmol/L)	pH	Water Transparency(m)	Baro(hPa)	Research Vessel
East Sea	102	04	1973-02-16 12:30	36.0767	129.615	Chart	0	14.1	1	34.31	1	7.26	1	1						14	1,026	JIRISAN HO(CHIRISAN HO)
East Sea	102	04	1973-02-16 12:30	36.0767	129.615	Chart	10	12.5	1	34.30	1	7.19	1	1						14	1,026	JIRISAN HO(CHIRISAN HO)
East Sea	102	04	1973-02-16 12:30	36.0767	129.615	Chart	20	12.4	1	34.29	1	7.18	1	1						14	1,026	JIRISAN HO(CHIRISAN HO)
East Sea	102	04	1973-02-16 12:30	36.0767	129.615	Chart	30	12.2	1	34.28	1	7.22	1	1						14	1,026	JIRISAN HO(CHIRISAN HO)
East Sea	102	04	1973-02-16 12:30	36.0767	129.615	Chart	50	12.0	1	34.26	1	7.29	1	1						14	1,026	JIRISAN HO(CHIRISAN HO)
East Sea	102	04	1973-04-17 10:07	36.0767	129.615	Chart	0	13.9	1	34.41	1		1	1						6	1,008	JIRISAN HO(CHIRISAN HO)
East Sea	102	04	1973-04-17 10:07	36.0767	129.615	Chart	10	14.8	1	34.43	1		1	1						6	1,008	JIRISAN HO(CHIRISAN HO)
East Sea	102	04	1973-04-17 10:07	36.0767	129.615	Chart	20	12.4	1	34.35	1		1	1						6	1,008	JIRISAN HO(CHIRISAN HO)
East Sea	102	04	1973-04-17 10:07	36.0767	129.615	Chart	30	11.9	1	34.32	1		1	1						6	1,008	JIRISAN HO(CHIRISAN HO)
East Sea	102	04	1973-04-17 10:07	36.0767	129.615	Chart	50	11.9	1	34.36	1		1	1						6	1,008	JIRISAN HO(CHIRISAN HO)
East Sea	102	04	1973-06-10 15:00	36.0767	129.615	Chart	0	18.3	1	34.02	1		1	1						17	1,020	JIRISAN HO(CHIRISAN HO)
East Sea	102	04	1973-06-10 15:00	36.0767	129.615	Chart	10	13.4	1	34.16	1		1	1						17	1,020	JIRISAN HO(CHIRISAN HO)
East Sea	102	04	1973-06-10 15:00	36.0767	129.615	Chart	20	9.0	1	34.25	1		1	1						17	1,020	JIRISAN HO(CHIRISAN HO)
East Sea	102	04	1973-06-10 15:00	36.0767	129.615	Chart	30	8.0	1	34.23	1		1	1						17	1,020	JIRISAN HO(CHIRISAN HO)
East Sea	102	04	1973-06-10 15:00	36.0767	129.615	Chart	50	6.1	1	34.15	1		1	1						17	1,020	JIRISAN HO(CHIRISAN HO)
East Sea	102	04	1973-08-23 11:00	36.0767	129.615	Chart	0	19.7	1	33.49	1		1	1						14		JIRISAN HO(CHIRISAN HO)
East Sea	102	04	1973-08-23 11:00	36.0767	129.615	Chart	10	14.7	1	33.98	1	6.88	1	1						14		JIRISAN HO(CHIRISAN HO)
East Sea	102	04	1973-08-23 11:00	36.0767	129.615	Chart	20	13.2	1	34.13	1	6.47	1	1						14		JIRISAN HO(CHIRISAN HO)
East Sea	102	04	1973-08-23 11:00	36.0767	129.615	Chart	30	12.0	1	34.17	1	6.25	1	1						14		JIRISAN HO(CHIRISAN HO)
East Sea	102	04	1973-08-23 11:00	36.0767	129.615	Chart	50	10.5	1	34.15	1	6.35	1	1						14		JIRISAN HO(CHIRISAN HO)
East Sea	102	04	1973-10-11 12:40	36.0767	129.615	Chart	0	19.0	1	32.92	1		1	1						11	1,022	JIRISAN HO(CHIRISAN HO)
East Sea	102	04	1973-10-11 12:40	36.0767	129.615	Chart	10	20.1	1		4		1	1						11	1,022	JIRISAN HO(CHIRISAN HO)
East Sea	102	04	1973-10-11 12:40	36.0767	129.615	Chart	20	20.1	1		4		1	1						11	1,022	JIRISAN HO(CHIRISAN HO)
