癤�Area	Line	Station	Date(YYYY-MM-DD)	Latitude	Longitude	Vertical change chart	Depth(m)	Water Temperature(℃)	T QC flag	Salinity(psu)	S QC flag	DO(ml/L)	D QC flag	QC Level	PO４(μmol/L)	NO２(μmol/L)	NO３(μmol/L)	SiO２(μmol/L)	pH	Water Transparency(m)	Baro(hPa)	Research Vessel
East Sea	102	00	1999-09-02 04:55	36.0767	129.5883	Chart	0	23.6	1	31.83	1	5.23	1	1	0.12	0.25	2.39	4.38			1,017	TAMGU 3
East Sea	102	00	1999-09-02 04:55	36.0767	129.5883	Chart	10	23.5	1	31.87	1	4.7	1	1							1,017	TAMGU 3
East Sea	102	00	1999-09-02 04:55	36.0767	129.5883	Chart	20	21.6	1	32.55	1	3.98	1	1	0.33	0.25	4.43	6.75			1,017	TAMGU 3
East Sea	102	00	1999-09-02 04:55	36.0767	129.5883	Chart	30	17.6	1	33.48	1	3.93	1	1							1,017	TAMGU 3
East Sea	102	00	1999-09-02 04:55	36.0767	129.5883	Chart	50	13.6	1	34.35	1	3.88	1	1	0.55	0.36	8.55	11.89			1,017	TAMGU 3
East Sea	102	00	1999-11-21 03:20	36.0767	129.5883	Chart	0	16.7	1	33.23	1	5.15	1	1	0.27	0.37	0.95	5.91			1,030	INCHEON 888(INCHON 888)
East Sea	102	00	1999-11-21 03:20	36.0767	129.5883	Chart	10	16.7	1	33.23	1	5.17	1	1							1,030	INCHEON 888(INCHON 888)
East Sea	102	00	1999-11-21 03:20	36.0767	129.5883	Chart	20	16.7	1	33.29	1	5.11	1	1	0.26	0.47	2.52	6.56			1,030	INCHEON 888(INCHON 888)
East Sea	102	00	1999-11-21 03:20	36.0767	129.5883	Chart	30	16.3	1	33.44	1	4.98	1	1							1,030	INCHEON 888(INCHON 888)
East Sea	102	00	1999-11-21 03:20	36.0767	129.5883	Chart	48	12.2	1	34.09	1	4.19	1	1	0.56	0.44	8.94	12.63			1,030	INCHEON 888(INCHON 888)
East Sea	102	00	1999-12-31 07:50	36.0767	129.5883	Chart	0	14.4	1	34.19	1	5.79	1	1	0.36	0.79	7.92	8.14		16	1,026	GYONGBUK 885(KYONGBUK 885)
East Sea	102	00	1999-12-31 07:50	36.0767	129.5883	Chart	10	14.4	1	34.19	1	5.8	1	1						16	1,026	GYONGBUK 885(KYONGBUK 885)
East Sea	102	00	1999-12-31 07:50	36.0767	129.5883	Chart	20	14.2	1	34.15	1	5.66	1	1	0.47	0.68	7.59	8.88		16	1,026	GYONGBUK 885(KYONGBUK 885)
East Sea	102	00	1999-12-31 07:50	36.0767	129.5883	Chart	30	13.7	1	34.19	1	5.57	1	1	0.45	0.84	9.88	12.9		16	1,026	GYONGBUK 885(KYONGBUK 885)
East Sea	102	04	1999-02-22 15:10	36.0767	129.615	Chart	0	12.5	1	34.29	1	5.82	1	1						15	1,023.5	GYONGBUK 885(KYONGBUK 885)
East Sea	102	04	1999-02-22 15:10	36.0767	129.615	Chart	10	12.5	1	34.31	1	5.79	1	1						15	1,023.5	GYONGBUK 885(KYONGBUK 885)
East Sea	102	04	1999-02-22 15:10	36.0767	129.615	Chart	20	12.4	1	34.28	1	5.86	1	1						15	1,023.5	GYONGBUK 885(KYONGBUK 885)
East Sea	102	04	1999-02-22 15:10	36.0767	129.615	Chart	30	11.5	1	34.17	1	5.56	1	1						15	1,023.5	GYONGBUK 885(KYONGBUK 885)
East Sea	102	04	1999-02-22 15:10	36.0767	129.615	Chart	50	10.7	1	34.13	1	5.95	1	1						15	1,023.5	GYONGBUK 885(KYONGBUK 885)
East Sea	102	04	1999-02-22 15:10	36.0767	129.615	Chart	75	10.3	1	34.12	1	5.84	1	1						15	1,023.5	GYONGBUK 885(KYONGBUK 885)
East Sea	102	04	1999-04-21 15:10	36.0767	129.615	Chart	0	14.8	1	34.12	1	6.3	1	1						11	1,024.1	GYONGBUK 885(KYONGBUK 885)
East Sea	102	04	1999-04-21 15:10	36.0767	129.615	Chart	10	14.3	1	34.16	1	6.34	1	1						11	1,024.1	GYONGBUK 885(KYONGBUK 885)
East Sea	102	04	1999-04-21 15:10	36.0767	129.615	Chart	20	14.2	1	34.18	1	6.39	1	1						11	1,024.1	GYONGBUK 885(KYONGBUK 885)
East Sea	102	04	1999-04-21 15:10	36.0767	129.615	Chart	30	14.0	1	34.17	1	5.58	1	1						11	1,024.1	GYONGBUK 885(KYONGBUK 885)
East Sea	102	04	1999-04-21 15:10	36.0767	129.615	Chart	50	12.2	1	34.15	1	5.6	1	1						11	1,024.1	GYONGBUK 885(KYONGBUK 885)
East Sea	102	04	1999-04-21 15:10	36.0767	129.615	Chart	75	5.2	1	34.17	1	5.26	1	1						11	1,024.1	GYONGBUK 885(KYONGBUK 885)
East Sea	102	04	1999-06-08 05:35	36.0767	129.615	Chart	0	18.2	1	33.71	1	5.35	1	1							1,011.5	GYONGBUK 885(KYONGBUK 885)
East Sea	102	04	1999-06-08 05:35	36.0767	129.615	Chart	10	16.8	1	33.64	1	5.4	1	1							1,011.5	GYONGBUK 885(KYONGBUK 885)
East Sea	102	04	1999-06-08 05:35	36.0767	129.615	Chart	20	12.3	1	34.25	1	4.99	1	1							1,011.5	GYONGBUK 885(KYONGBUK 885)
East Sea	102	04	1999-06-08 05:35	36.0767	129.615	Chart	30	11.2	1	34.32	1		1	1							1,011.5	GYONGBUK 885(KYONGBUK 885)
East Sea	102	04	1999-06-08 05:35	36.0767	129.615	Chart	50	7.4	1	34.18	1	4.85	1	1							1,011.5	GYONGBUK 885(KYONGBUK 885)
East Sea	102	04	1999-06-08 05:35	36.0767	129.615	Chart	75	3.8	1	34.15	1		1	1							1,011.5	GYONGBUK 885(KYONGBUK 885)
East Sea	102	04	1999-09-02 04:40	36.0767	129.615	Chart	0	23.4	1	31.85	1	5.29	1	1							1,017	TAMGU 3
East Sea	102	04	1999-09-02 04:40	36.0767	129.615	Chart	10	23.4	1	31.89	1	4.64	1	1							1,017	TAMGU 3
East Sea	102	04	1999-09-02 04:40	36.0767	129.615	Chart	20	21.6	1	32.71	1	3.91	1	1							1,017	TAMGU 3
East Sea	102	04	1999-09-02 04:40	36.0767	129.615	Chart	30	18.3	1	33.44	1	3.89	1	1							1,017	TAMGU 3
East Sea	102	04	1999-09-02 04:40	36.0767	129.615	Chart	50	13.5	1	34.36	1	3.81	1	1							1,017	TAMGU 3
East Sea	102	04	1999-09-02 04:40	36.0767	129.615	Chart	75	6.6	1	34.18	1		1	1							1,017	TAMGU 3
East Sea	102	04	1999-09-02 04:40	36.0767	129.615	Chart	98	3.9	2	34.14	2		2	0							1,017	TAMGU 3
East Sea	102	04	1999-11-21 03:05	36.0767	129.615	Chart	0	16.7	1	33.21	1	5.1	1	1							1,030	INCHEON 888(INCHON 888)
East Sea	102	04	1999-11-21 03:05	36.0767	129.615	Chart	10	16.6	1	33.21	1	5.13	1	1							1,030	INCHEON 888(INCHON 888)
East Sea	102	04	1999-11-21 03:05	36.0767	129.615	Chart	20	16.6	1	33.26	1	5.07	1	1							1,030	INCHEON 888(INCHON 888)
East Sea	102	04	1999-11-21 03:05	36.0767	129.615	Chart	30	16.5	1	33.38	1	4	1	1							1,030	INCHEON 888(INCHON 888)
East Sea	102	04	1999-11-21 03:05	36.0767	129.615	Chart	50	12.6	1	33.91	1	3.77	1	1							1,030	INCHEON 888(INCHON 888)
East Sea	102	04	1999-12-31 07:30	36.0767	129.615	Chart	0	14.4	1	34.19	1	5.77	1	1						16	1,026	GYONGBUK 885(KYONGBUK 885)
East Sea	102	04	1999-12-31 07:30	36.0767	129.615	Chart	10	14.4	1	34.19	1	5.85	1	1						16	1,026	GYONGBUK 885(KYONGBUK 885)
East Sea	102	04	1999-12-31 07:30	36.0767	129.615	Chart	20	14.2	1	34.19	1	5.69	1	1						16	1,026	GYONGBUK 885(KYONGBUK 885)
East Sea	102	04	1999-12-31 07:30	36.0767	129.615	Chart	30	13.7	1	34.19	1	5.53	1	1						16	1,026	GYONGBUK 885(KYONGBUK 885)
East Sea	102	04	1999-12-31 07:30	36.0767	129.615	Chart	48	12.4	2	34.19	2	5.48	2	0						16	1,026	GYONGBUK 885(KYONGBUK 885)
East Sea	102	05	1999-02-22 14:30	36.0767	129.6883	Chart	0	10.5	1	34.09	1	6.11	1	1	0.44	0.57	9.58	13.5		17	1,024	GYONGBUK 885(KYONGBUK 885)
East Sea	102	05	1999-02-22 14:30	36.0767	129.6883	Chart	10	10.5	1	34.09	1	6.05	1	1						17	1,024	GYONGBUK 885(KYONGBUK 885)
